ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
303187,Paleocene #1 (Comic Book),Comic Books,Comics,USD,07/06/2017,400,08/05/2017 09:04,1661.52,successful,89,US,0,1661.52,400
329144,BreadBug - the Adaptable Educational Robot,Robots,Technology,USD,04/05/2017,1500,04/04/2017 03:33,624,failed,18,US,140,624,1500
358771,"dBud - Volume adjustable earplugs with clear, safe sound",Wearables,Technology,USD,19/05/2017,50000,19/04/2017 12:44,132060.01,successful,2171,US,26668.01,132060.01,50000
422684,RS01 Integrated Reflective Shirt,Apparel,Fashion,USD,06/01/2017,34000,29/11/2016 17:59,14964,failed,150,US,1130,14964,34000
442565,Classy Greeting Cards,Printing,Crafts,USD,03/05/2017,1000,13/04/2017 00:48,1125,successful,26,US,186,1125,1000
640380,Galaxy LED Fidget Spinner,Gadgets,Technology,USD,16/07/2017,18000,16/06/2017 19:06,3146,failed,82,US,1490,3146,18000
771637,Loog Pro & Loog Mini: The ultimate beginners' guitars,Product Design,Design,USD,27/05/2017,30000,24/04/2017 14:02,358286,successful,2391,US,13740,358286,30000
821031,T21 Blaster : A Star Wars project,Sculpture,Art,USD,29/10/2017,300,30/08/2017 20:10,301,successful,4,US,5,301,300
1031051,Write Your First Piece of Music In 14 Steps Video Course,Film & Video,Film & Video,USD,08/07/2017,6000,08/06/2017 23:00,50,failed,5,US,20,50,6000
1045984,"Ninja Boy 2, Life after Death",Comic Books,Comics,USD,03/06/2017,10000,04/05/2017 17:25,15387,successful,155,US,6790,15387,10000
1081679,Arie the Arapaima and His Marvelous Adventure Kids Book,Children's Books,Publishing,USD,07/06/2017,2900,08/05/2017 19:22,303,failed,5,US,199,303,2900
1193910,3D automotive wall art,Art,Art,USD,11/10/2017,60000,11/09/2017 23:40,1945,failed,9,US,698,1945,60000
1388749,One Up This,Tabletop Games,Games,USD,02/01/2017,12000,03/12/2016 21:25,2376,failed,46,US,1093,2376,12000
1430657,Hobnobbin' with Slim Man,Audio,Journalism,USD,10/06/2017,3000,11/05/2017 02:02,6813,successful,90,US,655,6813,3000
1534218,2018 Gaming Calendar,Tabletop Games,Games,USD,02/08/2017,6000,11/07/2017 12:47,16200,successful,429,US,3559,16200,6000
1546463,The Movies Made Me Do It!,Nonfiction,Publishing,USD,19/07/2017,20000,19/06/2017 20:09,100,failed,1,US,100,100,20000
1799948,MYSTERY SCIENCE THEATER 3000 TRADING CARDS ~ RRParksCARDS,Publishing,Publishing,USD,28/12/2017,3500,23/11/2017 04:16,53088,successful,427,US,16570,53088,3500
1848818,Esphorosa Universe: Possessions,Video Games,Games,USD,05/10/2017,9000,02/09/2017 22:46,2250,failed,61,US,720,2250,9000
1957684,Rosa's Esperanza,Film & Video,Film & Video,USD,28/12/2017,10000,04/12/2017 17:48,10180.6,successful,330,US,140,10180.6,10000
2033099,The Franklin County Times-- A Modern David vs. Goliath,Print,Journalism,USD,15/10/2017,3500,15/09/2017 15:28,495,failed,10,US,60,495,3500
2146922,bolstr 2.0: The Ultimate Minimal EDC Bag. Perfectly Sized.,Product Design,Design,USD,17/12/2017,10000,24/11/2017 19:11,32268,successful,403,US,13633,32268,10000
2151557,"Gala De La Vie: Food, Heritage and Healing.",Restaurants,Food,USD,01/07/2017,3000,12/06/2017 18:43,3227,successful,16,US,212,3227,3000
2305497,The Dead Palace,Graphic Novels,Comics,USD,05/10/2017,6000,05/09/2017 14:00,9292,successful,203,US,431,9292,6000
2380058,Ad Urbem,Tabletop Games,Games,USD,31/07/2017,5000,01/07/2017 21:26,996,failed,22,US,751,996,5000
2456647,Breathing Buddies Eye Pillows,Product Design,Design,USD,28/02/2017,15000,07/02/2017 19:17,348,failed,10,US,218,348,15000
2661579,Life of Harold,Webseries,Film & Video,USD,11/11/2017,2100,12/10/2017 17:37,2234,successful,35,US,42,2234,2100
2721689,Get Fit with a Smart Fitness Device,Gadgets,Technology,USD,02/09/2017,10000,19/07/2017 08:00,14290.2,successful,141,US,3645,14290.2,10000
